retinal_trait	retinal_domain	systemic_disease	admit_phase1b	admission_reason	p	rg	q_global	q_within_retinal_domain	qc_flag
ret_rnfl_left	neuroretina	sys_cad_nikpay2015	FALSE	NO_PREDEFINED_CRITERION	0.1926	-0.0594	0.6848390243902439	0.8099047619047619	RATIO_NEGATIVE
ret_rnfl_left	neuroretina	sys_stroke_megastroke2018	FALSE	NO_PREDEFINED_CRITERION	0.2386	-0.0837	0.6848390243902439	0.8099047619047619	PASS
ret_rnfl_left	neuroretina	sys_t2d_scott2017	FALSE	NO_PREDEFINED_CRITERION	0.2817	-0.0595	0.70112	0.8099047619047619	PASS
ret_rnfl_left	neuroretina	sys_ckd_wuttke2019	FALSE	NO_PREDEFINED_CRITERION	0.1853	-0.0976	0.6848390243902439	0.8099047619047619	PASS
ret_rnfl_left	neuroretina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.8042	-0.0237	0.9382333333333334	0.9778	PASS
ret_rnfl_left	neuroretina	sys_pd_nalls2019_clinical	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.2808	-0.0726	0.70112	0.8099047619047619	RATIO_NEGATIVE
ret_rnfl_left	neuroretina	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.749	0.024	0.9020215053763442	0.9778	PASS
ret_rnfl_left	neuroretina	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.6012	0.0239	0.8131469879518073	0.8384	PASS
ret_gcipl_left	neuroretina	sys_cad_nikpay2015	FALSE	NO_PREDEFINED_CRITERION	0.6026	0.0227	0.8131469879518073	0.8384	RATIO_NEGATIVE
ret_gcipl_left	neuroretina	sys_stroke_megastroke2018	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0135	0.1615	0.216	0.216	PASS
ret_gcipl_left	neuroretina	sys_t2d_scott2017	FALSE	NO_PREDEFINED_CRITERION	0.9751	0.0015	0.9872144144144145	0.9778	PASS
ret_gcipl_left	neuroretina	sys_ckd_wuttke2019	FALSE	NO_PREDEFINED_CRITERION	0.3367	-0.0643	0.7394196078431372	0.8099047619047619	PASS
ret_gcipl_left	neuroretina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.9751	-0.0024	0.9872144144144145	0.9778	PASS
ret_gcipl_left	neuroretina	sys_pd_nalls2019_clinical	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.116	-0.0966	0.5646666666666667	0.8099047619047619	RATIO_NEGATIVE
ret_gcipl_left	neuroretina	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.8373	0.0143	0.9402455445544554	0.9778	PASS
ret_gcipl_left	neuroretina	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.4828	-0.033	0.7876842105263158	0.8099047619047619	PASS
ret_inl_left	neuroretina	sys_cad_nikpay2015	FALSE	NO_PREDEFINED_CRITERION	0.5315	0.026	0.7876842105263158	0.8099047619047619	RATIO_NEGATIVE
ret_inl_left	neuroretina	sys_stroke_megastroke2018	TRUE	NOMINAL_P<0.05_AND_ABS_RG>=0.10	0.0047	0.1564	0.16352	0.1504	PASS
ret_inl_left	neuroretina	sys_t2d_scott2017	FALSE	NO_PREDEFINED_CRITERION	0.8935	0.0074	0.9622307692307692	0.9778	PASS
ret_inl_left	neuroretina	sys_ckd_wuttke2019	FALSE	NO_PREDEFINED_CRITERION	0.4444	-0.0516	0.7807757575757576	0.8099047619047619	PASS
ret_inl_left	neuroretina	sys_ad_kunkle2019	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.774	-0.0201	0.9222127659574468	0.9778	PASS
ret_inl_left	neuroretina	sys_pd_nalls2019_clinical	TRUE	PREDEFINED_BIOLOGY_PRIORITY	0.2585	-0.0519	0.6893333333333334	0.8099047619047619	RATIO_NEGATIVE
ret_inl_left	neuroretina	sys_sle_bentham2015	FALSE	NO_PREDEFINED_CRITERION	0.3327	0.1076	0.7394196078431372	0.8099047619047619	PASS
ret_inl_left	neuroretina	sys_ibd_delange2017	FALSE	NO_PREDEFINED_CRITERION	0.4601	-0.0289	0.7807757575757576	0.8099047619047619	PASS
ret_inl_elm_left	neuroretina	sys_cad_nikpay2015	FALSE	NO_PREDEFINED_CRITERION	0.3884	0.0322	0.7794098360655737	0.8099047619047619	RATIO_NEGATIVE
ret_inl_elm_left	neuroretina	sys_stroke_megastroke2018	FALSE	NO_PREDEFINED_CRITERION	0.5271	0.0305	0.7876842105263158	0.8099047619047619	PASS
ret_inl_elm_left	neuroretina	sys_t2d_scott2017	FALSE	NO_PREDEFINED_CRITERION	0.9778	0.001	0.9872144144144145	0.9778	PASS
ret_inl_elm_left	neuroretina	sys_ckd_wuttke2019	FALSE	NO_PREDEFINED_CRITERION	0.11	-0.0853	0.5646666666666667	0.8099047619047619	PASS
