trait_id	trait_name	domain	subdomain	study_name	first_author	year	journal	doi	pmid	consortium	ancestry	sample_size	n_cases	n_controls	cohort_sources	ukb_included	estimated_ukb_fraction	genome_build	variant_count	units	effect_allele_definition	effect_scale	summary_statistics_available	download_url	file_format	license	sample_source	probable_sample_overlap	primary_candidate	access_date	url_verified	notes
ret_rnfl_left	RNFL thickness, left eye	retinal	neuroretina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	UK Biobank	White British	60748 average across retinal traits	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~10.8 million (study-level)	inverse-normalised quantitative trait	effect allele in downloadable file; schema pending full-file inspection	linear mixed-model beta	FULL	https://zenodo.org/api/records/11217687/files/ukbiobank_eye_oct_80k_13_march2022.zip/content	ZIP archive; one genome-wide text result	CC BY 4.0	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)	Study h2=0.294017, SE=0.026482; left eye chosen to avoid left/right redundancy.
ret_gcipl_left	GCIPL thickness, left eye	retinal	neuroretina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	UK Biobank	White British	60748 average across retinal traits	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~10.8 million (study-level)	inverse-normalised quantitative trait	effect allele in downloadable file; schema pending full-file inspection	linear mixed-model beta	FULL	https://zenodo.org/api/records/11217687/files/ukbiobank_eye_oct_80k_9_march2022.zip/content	ZIP archive; one genome-wide text result	CC BY 4.0	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)	Study h2=0.462755, SE=0.026760; left eye chosen to avoid left/right redundancy.
ret_inl_left	INL thickness, left eye	retinal	neuroretina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	UK Biobank	White British	60748 average across retinal traits	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~10.8 million (study-level)	inverse-normalised quantitative trait	effect allele in downloadable file; schema pending full-file inspection	linear mixed-model beta	FULL	https://zenodo.org/api/records/11217687/files/ukbiobank_eye_oct_80k_11_march2022.zip/content	ZIP archive; one genome-wide text result	CC BY 4.0	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)	Study h2=0.596738, SE=0.026990; left eye chosen to avoid left/right redundancy.
ret_inl_elm_left	INL-to-ELM thickness, left eye	retinal	neuroretina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	UK Biobank	White British	60748 average across retinal traits	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~10.8 million (study-level)	inverse-normalised quantitative trait	effect allele in downloadable file; schema pending full-file inspection	linear mixed-model beta	FULL	https://zenodo.org/api/records/11217687/files/ukbiobank_eye_oct_80k_3_march2022.zip/content	ZIP archive; one genome-wide text result	CC BY 4.0	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)	Study h2=0.682770, SE=0.026544; left eye chosen to avoid left/right redundancy.
ret_elm_isos_left	ELM-to-IS/OS thickness, left eye	retinal	outer_retina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	UK Biobank	White British	60748 average across retinal traits	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~10.8 million (study-level)	inverse-normalised quantitative trait	effect allele in downloadable file; schema pending full-file inspection	linear mixed-model beta	FULL	https://zenodo.org/api/records/11217687/files/ukbiobank_eye_oct_80k_1_march2022.zip/content	ZIP archive; one genome-wide text result	CC BY 4.0	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)	Study h2=0.235368, SE=0.026210; left eye chosen to avoid left/right redundancy.
ret_isos_rpe_left	IS/OS-to-RPE thickness, left eye	retinal	outer_retina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	UK Biobank	White British	60748 average across retinal traits	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~10.8 million (study-level)	inverse-normalised quantitative trait	effect allele in downloadable file; schema pending full-file inspection	linear mixed-model beta	FULL	https://zenodo.org/api/records/11217687/files/ukbiobank_eye_oct_80k_7_march2022.zip/content	ZIP archive; one genome-wide text result	CC BY 4.0	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)	Study h2=0.334116, SE=0.026517; left eye chosen to avoid left/right redundancy.
ret_macular_total_left	Overall macular thickness, left eye	retinal	outer_retina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	UK Biobank	White British	60748 average across retinal traits	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~10.8 million (study-level)	inverse-normalised quantitative trait	effect allele in downloadable file; schema pending full-file inspection	linear mixed-model beta	FULL	https://zenodo.org/api/records/11217687/files/ukbiobank_eye_oct_80k_43_march2022.zip/content	ZIP archive; one genome-wide text result	CC BY 4.0	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)	Study h2=0.532811, SE=0.026761; left eye chosen to avoid left/right redundancy.
ret_onl_mean	Outer nuclear layer thickness, mean of eyes	retinal	outer_retina	GWAS of human photoreceptor layer thickness	Currant	2023	PLOS Genetics	10.1371/journal.pgen.1010587	36848389	UK Biobank	European PCA cluster	31135	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~12 million	mean OCT thickness after covariate residualisation	effect_allele	beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90243001-GCST90244000/GCST90243953/GCST90243953_buildGRCh37.tsv	pre-GWAS-SSF TSV	GWAS Catalog terms / article CC BY	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES	Published h2=0.39; LD-score intercept 1.04; rsID and beta/SE/P present.
ret_art_tort	Retinal arteriolar tortuosity	retinal	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	UK Biobank	European	68088	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~12 million	rank-based inverse-normalised vascular IDP	effect_allele	BGENIE beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446760/GCST90446760.tsv.gz	GWAS-SSF v1.0 TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES	Published h2=0.25, SE=0.02.
ret_ven_tort	Retinal venular tortuosity	retinal	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	UK Biobank	European	68012	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~12 million	rank-based inverse-normalised vascular IDP	effect_allele	BGENIE beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446761/GCST90446761.tsv.gz	GWAS-SSF v1.0 TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES	Study reports retinal-IDP h2 range 0.05-0.25; trait-specific value not yet extracted.
