metric	value	status	evidence
trait_id	sys_ckd_wuttke2019	PASS	full local input scan
path	data/raw/systemic/sys_ckd_wuttke2019__CKD_overall_EA_JW_20180223_nstud23.dbgap.txt.gz.complete	PASS	full local input scan
rows	9162323	PASS	full local input scan
malformed_rows	0	PASS	full local input scan
missing_essential	0	PASS	full local input scan
missing_coordinates	0	PASS	full local input scan
duplicate_variants	0	PASS	full local input scan
duplicate_method	exact rsID, falling back to chromosome:position:alleles	PASS	full local input scan
indels_or_complex	0	PASS	full local input scan
multiallelic_encoded	0	PASS	full local input scan
palindromic_snps	1391659	PASS	full local input scan
chromosome_x	0	PASS	full local input scan
gws_hits_before_clumping	1451	PASS	full local input scan
column_map	"{""beta"": 6, ""chr"": 0, ""ea"": 3, ""eaf"": 5, ""info"": null, ""n"": null, ""oa"": 4, ""or"": null, ""p"": 8, ""pos"": 1, ""rsid"": 2, ""se"": 7}"	PASS	full local input scan
full_file_qc	COMPLETE	PASS	full local input scan
qc_verdict	PASS_WITH_SCHEMA	PASS	full local input scan
