metric	value	status	evidence
trait_id	sys_ibd_delange2017	PASS	full local input scan
path	data/raw/systemic/sys_ibd_delange2017__ibd_build37_59957_20161107.txt.gz.complete	PASS	full local input scan
rows	9735446	PASS	full local input scan
malformed_rows	0	PASS	full local input scan
missing_essential	0	PASS	full local input scan
missing_coordinates	0	PASS	full local input scan
duplicate_variants	0	PASS	full local input scan
duplicate_method	exact rsID, falling back to chromosome:position:alleles	PASS	full local input scan
indels_or_complex	370696	PASS	full local input scan
multiallelic_encoded	0	PASS	full local input scan
palindromic_snps	1391659	PASS	full local input scan
chromosome_x	0	PASS	full local input scan
gws_hits_before_clumping	13322	PASS	full local input scan
column_map	"{""beta"": 3, ""chr"": null, ""ea"": 1, ""eaf"": null, ""info"": null, ""n"": null, ""oa"": 2, ""or"": null, ""p"": 5, ""pos"": null, ""rsid"": 0, ""se"": 4}"	PASS	full local input scan
full_file_qc	COMPLETE	PASS	full local input scan
qc_verdict	PASS_WITH_SCHEMA	PASS	full local input scan
