metric	value	status	evidence
trait_id	sys_stroke_megastroke2018	PASS	full local input scan
path	data/raw/systemic/sys_stroke_megastroke2018__MEGASTROKE.2.AIS.EUR.out.complete	PASS	full local input scan
rows	8340184	PASS	full local input scan
malformed_rows	0	PASS	full local input scan
missing_essential	0	PASS	full local input scan
missing_coordinates	8339820	PASS	full local input scan
duplicate_variants	0	PASS	full local input scan
duplicate_method	exact rsID, falling back to chromosome:position:alleles	PASS	full local input scan
indels_or_complex	0	PASS	full local input scan
multiallelic_encoded	0	PASS	full local input scan
palindromic_snps	1286471	PASS	full local input scan
chromosome_x	0	PASS	full local input scan
gws_hits_before_clumping	304	PASS	full local input scan
column_map	"{""beta"": 4, ""chr"": null, ""ea"": 1, ""eaf"": 3, ""info"": null, ""n"": null, ""oa"": 2, ""or"": null, ""p"": 6, ""pos"": null, ""rsid"": 0, ""se"": 5}"	PASS	full local input scan
full_file_qc	COMPLETE	PASS	full local input scan
qc_verdict	PASS_WITH_SCHEMA_MISSING_COORDINATES	PASS	full local input scan
