retinal_trait	disease	direction	evidence_status	n_iv_final	p	q_amendment004_global	analysis_status
ret_rnfl_left	sys_cad_nikpay2015	ret_rnfl_left_to_sys_cad_nikpay2015	NULL	16	0.6312639041020067	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_rnfl_left	NULL	30	0.4187933139011653	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_stroke_megastroke2018	ret_rnfl_left_to_sys_stroke_megastroke2018	NULL	16	0.6968709477492135	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_rnfl_left	NULL	7	0.439764405846892	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_t2d_scott2017	ret_rnfl_left_to_sys_t2d_scott2017	NULL	14	0.8883904064067936	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_t2d_scott2017	sys_t2d_scott2017_to_ret_rnfl_left	NULL	28	0.4740464082228929	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_ckd_wuttke2019	ret_rnfl_left_to_sys_ckd_wuttke2019	NULL	16	0.0961234086542358	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_rnfl_left	NULL	16	0.8190599477569072	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_ad_kunkle2019	ret_rnfl_left_to_sys_ad_kunkle2019	NULL	16	0.9011654813703512	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_rnfl_left	NULL	18	0.8844506642229374	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_pd_nalls2019_clinical	ret_rnfl_left_to_sys_pd_nalls2019_clinical	NULL	15	0.1927173280058799	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_rnfl_left	NULL	10	0.2823404142362861	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_sle_bentham2015	ret_rnfl_left_to_sys_sle_bentham2015	NULL	15	0.6103500969105823	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_sle_bentham2015	sys_sle_bentham2015_to_ret_rnfl_left	NULL	28	0.1673496544595175	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_ibd_delange2017	ret_rnfl_left_to_sys_ibd_delange2017	NULL	13	0.4595896812048635	0.9627805128788594	ANALYSED_AMENDMENT004
ret_rnfl_left	sys_ibd_delange2017	sys_ibd_delange2017_to_ret_rnfl_left	NULL	90	0.5014738143336399	0.9627805128788594	ANALYSED_AMENDMENT004
ret_gcipl_left	sys_cad_nikpay2015	ret_gcipl_left_to_sys_cad_nikpay2015	NULL	30	0.1393267798710764	0.9627805128788594	ANALYSED_AMENDMENT004
ret_gcipl_left	sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_gcipl_left	NULL	30	0.5012327998960036	0.9627805128788594	ANALYSED_AMENDMENT004
ret_gcipl_left	sys_stroke_megastroke2018	ret_gcipl_left_to_sys_stroke_megastroke2018	NULL	29	0.5090404031515623	0.9627805128788594	ANALYSED_AMENDMENT004
ret_gcipl_left	sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_gcipl_left	NULL	7	0.1913299692594301	0.9627805128788594	ANALYSED_AMENDMENT004
ret_gcipl_left	sys_t2d_scott2017	ret_gcipl_left_to_sys_t2d_scott2017	NULL	24	0.3284112670166028	0.9627805128788594	ANALYSED_AMENDMENT004
ret_gcipl_left	sys_t2d_scott2017	sys_t2d_scott2017_to_ret_gcipl_left	NULL	28	0.6253384204121761	0.9627805128788594	ANALYSED_AMENDMENT004
ret_gcipl_left	sys_ckd_wuttke2019	ret_gcipl_left_to_sys_ckd_wuttke2019	NULL	31	0.3803325966780352	0.9627805128788594	ANALYSED_AMENDMENT004
ret_gcipl_left	sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_gcipl_left	NULL	16	0.8302249553231605	0.9627805128788594	ANALYSED_AMENDMENT004
