exposure	outcome	n_iv_final	method	beta	se	ci_low	ci_high	OR	p	q_amendment004_global	heterogeneity_Q	heterogeneity_p	egger_intercept	egger_p	weighted_median	weighted_median_p	weighted_mode	weighted_mode_p	egger_beta	steiger_direction	steiger_p	variance_explained_exposure	variance_explained_outcome	presso_status	loo_status	loo_beta_min	loo_beta_max	evidence_status	pair_id	direction	retinal_trait	disease	n_iv_initial	frequency_semantics	mean_F	min_F	effect_scale	multiple_testing_family
ret_rnfl_left	sys_cad_nikpay2015	16	IVW_random_effects	-0.0344498104209447	0.0717781165993768	-0.1751323338338362	0.1062327129919466	0.9661368284703964	0.6312639041020067	0.9627805128788594	27.44300213614619	0.0253274540032519	0.0037896011875245	0.333817836077898	-0.0784925143882895	0.1197999984349677	-0.1451710222699469	0.0040136125034554	-0.054692969771558	True	6.613740856240099e-82	0.0180248638753181	0.0013870427547779	COMPUTED_NO_OUTLIER	COMPUTED	-0.0771080270714096	-0.0019500657029677	NULL	ret_rnfl_left__sys_cad_nikpay2015	ret_rnfl_left_to_sys_cad_nikpay2015	ret_rnfl_left	sys_cad_nikpay2015	17	EFFECT_ALLELE	57.43514395864319	31.51634715346074	log_odds	BH_across_112_Amendment004_primary_directions
sys_cad_nikpay2015	ret_rnfl_left	30	IVW_random_effects	0.0130494591511921	0.0161400036000192	-0.0185843666151914	0.0446832849175757	NA	0.4187933139011653	0.9627805128788594	33.23963620568244	0.2681790542118257	0.0005501264079912	0.7488409560479008	0.0188024785595617	0.1828943061726293	-0.0020886008466048	0.8823833702405899	0.0130738992291099	True	0.0	0.0961566686599282	0.0007452109865117	COMPUTED_NO_OUTLIER	COMPUTED	0.0035919819282728	0.0208795151358461	NULL	ret_rnfl_left__sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_rnfl_left	ret_rnfl_left	sys_cad_nikpay2015	41	EFFECT_ALLELE	69.09358652761719	29.88157247129896	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_rnfl_left	sys_stroke_megastroke2018	16	IVW_random_effects	-0.0212472445728551	0.0545433546484592	-0.1281502552798277	0.0856557661341174	0.9789768879221348	0.6968709477492135	0.9627805128788594	10.95191865545202	0.7559952703515248	0.0044619167177357	0.0679834997999221	-0.0438002983030842	0.4219537050647577	-0.0453228962050894	0.4060008851094375	-0.0147743256369216	True	8.716951059036758e-97	0.0180248638753181	0.000622635726695	COMPUTED_NO_OUTLIER	COMPUTED	-0.0504495659150032	-0.0037195709246891	NULL	ret_rnfl_left__sys_stroke_megastroke2018	ret_rnfl_left_to_sys_stroke_megastroke2018	ret_rnfl_left	sys_stroke_megastroke2018	17	EFFECT_ALLELE	57.43514395864319	31.51634715346074	log_odds	BH_across_112_Amendment004_primary_directions
sys_stroke_megastroke2018	ret_rnfl_left	7	IVW_random_effects	0.0441423361573371	0.0571354438788357	-0.0678410760858873	0.1561257484005616	NA	0.439764405846892	0.9627805128788594	11.554662467734724	0.0726738243172767	0.0199353423843812	0.6139511774785869	0.0846536277602523	0.0391116065914023	0.0370256945722223	0.3668885063641615	-0.2247553785494585	True	1.3920657695637636e-73	0.0126013954123037	0.0002944224818638	COMPUTED_NO_OUTLIER	COMPUTED	0.00482194394743	0.0772591553091802	NULL	ret_rnfl_left__sys_stroke_megastroke2018	sys_stroke_megastroke2018_to_ret_rnfl_left	ret_rnfl_left	sys_stroke_megastroke2018	10	EFFECT_ALLELE	35.271851003077884	30.39364839319471	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_rnfl_left	sys_t2d_scott2017	14	IVW_random_effects	0.0099146942330247	0.0706470629907751	-0.1285510048424232	0.1483803933084728	1.0099640076549818	0.8883904064067936	0.9627805128788594	7.86854234088249	0.8520577252831074	-0.0017469627681853	0.5811772463618489	0.032382855021958	0.6466829729839982	-0.0496187846293435	0.4824625078423578	0.0022033299599788	True	1.1026309952957138e-69	0.0149343422172705	0.000589523406566	COMPUTED_NO_OUTLIER	COMPUTED	-0.0134508660060825	0.0501678871441056	NULL	ret_rnfl_left__sys_t2d_scott2017	ret_rnfl_left_to_sys_t2d_scott2017	ret_rnfl_left	sys_t2d_scott2017	17	EFFECT_ALLELE	54.30506887498935	31.51634715346074	log_odds	BH_across_112_Amendment004_primary_directions
sys_t2d_scott2017	ret_rnfl_left	28	IVW_random_effects	0.0146407115787294	0.0204504679644697	-0.0254414690986202	0.0547228922560791	NA	0.4740464082228929	0.9627805128788594	62.2657373317338	0.0001321073834807	-0.0014253744141302	0.5240681959476028	-0.0023130896551724	0.8501160708734112	-0.0026794681700285	0.826726377314315	0.0064968439386457	NA	NA	NA	NA	COMPUTED_NO_OUTLIER	COMPUTED	0.006178836992456	0.0233664688364121	NULL	ret_rnfl_left__sys_t2d_scott2017	sys_t2d_scott2017_to_ret_rnfl_left	ret_rnfl_left	sys_t2d_scott2017	40	UNKNOWN	65.4337237404373	30.617777777777786	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_rnfl_left	sys_ckd_wuttke2019	16	IVW_random_effects	-0.0837978397022207	0.0503609413595381	-0.1825034709944463	0.0149077915900048	0.9196171473809304	0.0961234086542358	0.9627805128788594	14.3854676810717	0.4965180055556109	0.0020197892058991	0.4796611903129357	-0.0303856911018266	0.5462703681201715	-0.0535527964613117	0.2876098511522508	-0.0827137289604362	True	3.0113960834515872e-96	0.0180248638753181	0.0007776827783875	COMPUTED_NO_OUTLIER	COMPUTED	-0.0989714675906543	-0.0590168039717039	NULL	ret_rnfl_left__sys_ckd_wuttke2019	ret_rnfl_left_to_sys_ckd_wuttke2019	ret_rnfl_left	sys_ckd_wuttke2019	17	EFFECT_ALLELE	57.43514395864319	31.51634715346074	log_odds	BH_across_112_Amendment004_primary_directions
sys_ckd_wuttke2019	ret_rnfl_left	16	IVW_random_effects	-0.0076145841787351	0.0332871850999155	-0.0728562681212861	0.0576270997638159	NA	0.8190599477569072	0.9627805128788594	34.69833073278293	0.0027141131782257	-0.0043076211647216	0.2004952296476146	-0.0218349128296826	0.2764440883626304	0.0010844460987582	0.956892724279825	-0.0319802209513551	True	0.0	0.050369252914	0.0007662930777758	COMPUTED_NO_OUTLIER	COMPUTED	-0.0232924918525632	0.0076109087838409	NULL	ret_rnfl_left__sys_ckd_wuttke2019	sys_ckd_wuttke2019_to_ret_rnfl_left	ret_rnfl_left	sys_ckd_wuttke2019	23	EFFECT_ALLELE	67.41229033728953	29.56640625000001	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
ret_rnfl_left	sys_ad_kunkle2019	16	IVW_random_effects	0.0095734600796812	0.0770877087218589	-0.1415156726658722	0.1606625928252348	1.0096194322357166	0.9011654813703512	0.9627805128788594	8.357589911178483	0.908647736111946	-0.0029650415264532	0.3656049331462557	0.1215342806366005	0.1148941665598113	0.1160521849336619	0.1322067766078141	0.0036092359969273	True	2.9303888996245673e-66	0.0180248638753181	0.0009087965103301	COMPUTED_NO_OUTLIER	COMPUTED	-0.0170833011228449	0.0361897274799885	NULL	ret_rnfl_left__sys_ad_kunkle2019	ret_rnfl_left_to_sys_ad_kunkle2019	ret_rnfl_left	sys_ad_kunkle2019	17	EFFECT_ALLELE	57.43514395864319	31.51634715346074	log_odds	BH_across_112_Amendment004_primary_directions
sys_ad_kunkle2019	ret_rnfl_left	18	IVW_random_effects	-0.0020071769974284	0.0138112079502479	-0.029076647162907	0.0250622931680501	NA	0.8844506642229374	0.9627805128788594	23.93865172582451	0.121111457515405	0.0031534882241784	0.1340888214291481	-0.0043855899720294	0.5662915013333354	-0.0076641123256141	0.3162143555170056	-0.0058276054337471	True	0.0	0.3346634975276982	0.0005393612692716	COMPUTED_NO_OUTLIER	COMPUTED	-0.0086221116238321	0.0046784895805641	NULL	ret_rnfl_left__sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_rnfl_left	ret_rnfl_left	sys_ad_kunkle2019	19	UNKNOWN	201.459973137048	30.46466520492495	standardized_continuous_trait	BH_across_112_Amendment004_primary_directions
