panel_role	trait_id	display_trait	subdomain	study_name	first_author	year	journal	doi	pmid	ancestry	sample_size	n_cases	n_controls	genome_build	ukb_included	estimated_ukb_fraction	summary_statistics_available	probable_sample_overlap	primary_candidate	access_date	url_verified
primary_retinal	ret_rnfl_left	RNFL thickness, left eye	neuroretina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	White British	60748 average across retinal traits	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)
primary_retinal	ret_gcipl_left	GCIPL thickness, left eye	neuroretina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	White British	60748 average across retinal traits	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)
primary_retinal	ret_inl_left	INL thickness, left eye	neuroretina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	White British	60748 average across retinal traits	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)
primary_retinal	ret_inl_elm_left	INL-to-ELM thickness, left eye	neuroretina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	White British	60748 average across retinal traits	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)
primary_retinal	ret_elm_isos_left	ELM-to-IS/OS thickness, left eye	outer_retina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	White British	60748 average across retinal traits	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)
primary_retinal	ret_isos_rpe_left	IS/OS-to-RPE thickness, left eye	outer_retina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	White British	60748 average across retinal traits	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)
primary_retinal	ret_macular_total_left	Overall macular thickness, left eye	outer_retina	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	Zhao	2024	Nature Communications	10.1038/s41467-024-50309-w	39025851	White British	60748 average across retinal traits	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES (Zenodo API)
primary_retinal	ret_art_tort	Retinal arteriolar tortuosity	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	European	68088	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES
primary_retinal	ret_ven_tort	Retinal venular tortuosity	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	European	68012	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES
primary_retinal	ret_crae	Central retinal arteriolar equivalent	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	European	65015	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES
primary_retinal	ret_crve	Central retinal venular equivalent	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	European	65374	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES
primary_retinal	ret_avr	Artery-to-vein central retinal equivalent ratio	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	European	64431	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES
primary_retinal	ret_art_density	Retinal arterial vascular density	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	European	68249	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES
primary_retinal	ret_ven_density	Retinal venular vascular density	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	European	68249	NA	NA	GRCh37	YES	1.0	FULL	High with any systemic UKB GWAS	YES	2026-09-09	YES
primary_systemic	sys_cad_nikpay2015	Coronary artery disease	cardiovascular	1000 Genomes-based CAD meta-analysis	Nikpay	2015	Nature Genetics	10.1038/ng.3396	26343387	Primarily European; trans-ethnic overall	184305 overall; 141217 European	60801 overall; 42096 European	123504 overall; 99121 European	GRCh37	NO	0	FULL	LOW with UKB retinal imaging	YES	2026-09-09	YES
primary_systemic	sys_stroke_megastroke2018	Any ischemic stroke	cardiovascular	MEGASTROKE European AIS	Malik	2018	Nature Genetics	10.1038/s41588-018-0058-3	29531354	European	440328	34217	406111	GRCh37	NO	0	FULL	LOW with UKB retinal imaging	YES	2026-09-09	YES
primary_systemic	sys_t2d_scott2017	Type 2 diabetes	metabolic	Expanded T2D GWAS with 1000 Genomes imputation	Scott	2017	Diabetes	10.2337/db16-1253	28566273	European	159208	26676	132532	GRCh37	NO	0	FULL	LOW with UKB retinal imaging	YES	2026-09-09	YES
primary_systemic	sys_ckd_wuttke2019	Chronic kidney disease	renal	CKDGen 2019 CKD European ancestry	Wuttke	2019	Nature Genetics	10.1038/s41588-019-0407-x	31152163	European	480698	41395	439303	GRCh37	NO	0	FULL	LOW with UKB retinal imaging	YES	2026-09-09	YES
primary_systemic	sys_ad_kunkle2019	Alzheimer disease	neurodegeneration	IGAP stage 1 clinically diagnosed AD	Kunkle	2019	Nature Genetics	10.1038/s41588-019-0358-2	30820047	European	63926	21982	41944	GRCh37	NO	0	FULL	LOW with UKB retinal imaging	YES	2026-09-09	YES
primary_systemic	sys_pd_nalls2019_clinical	Parkinson disease	neurodegeneration	IPDGC Parkinson disease clinical case-control meta-analysis	Nalls	2019	Lancet Neurology	10.1016/S1474-4422(19)30320-5	31701892	European	27693	15056	12637	GRCh37	NO	0	FULL	LOW with UKB retinal imaging	YES	2026-09-09	YES
primary_systemic	sys_sle_bentham2015	Systemic lupus erythematosus	immune	SLE European discovery GWAS	Bentham	2015	Nature Genetics	10.1038/ng.3434	26502338	European	14267	5201	9066	GRCh37	NO	0	FULL	LOW with UKB retinal imaging	YES	2026-09-09	YES
primary_systemic	sys_ibd_delange2017	Inflammatory bowel disease	immune	European IBD meta-analysis	de Lange	2017	Nature Genetics	10.1038/ng.3760	28067908	European	59957	25042	34915	GRCh37	NO	0	FULL	LOW with UKB retinal imaging	YES	2026-09-09	YES
