pair	retinal_trait	systemic_disease	locus_index	locus_id	chr	start	stop	n_snps	rho	rho_lower	rho_upper	native_lava_p	old_p	old_q	raw_rho	raw_r2	univ_p_retina	univ_p_systemic	native_q	direction	old_significant	native_significant	classification_change	old_native_q	new_q_native_global	old_status	leave_CAD_out_status
ret_elm_isos_left__sys_ckd_wuttke2019	ret_elm_isos_left	sys_ckd_wuttke2019	1	1	1	10539	1376204	60	-0.505398	-1.0	0.45282	0.250395	0.181594309825596	0.652486191508148	-0.50539805569292	0.255427194698184	0.0306038	0.0118917	0.7075662602360948	negative	False	False	NULL_BOTH	0.7075662602360948	0.711454542580885	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_tort__sys_ckd_wuttke2019	ret_art_tort	sys_ckd_wuttke2019	1	1	1	10539	1376204	60	0.62749	0.06014	1.0	0.0466925	0.0100655180400638	0.110289022615478	0.627489748369704	0.393743384309075	4.75615e-06	0.0118917	0.443250613772242	positive	False	False	NULL_BOTH	0.443250613772242	0.44324996687293733	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_ven_tort__sys_ckd_wuttke2019	ret_ven_tort	sys_ckd_wuttke2019	1	1	1	10539	1376204	60	0.752053	0.02209	1.0	0.0541122	0.0026504770182542	0.0401286751293638	0.752053149430145	0.5655839395678	0.00587404	0.0118917	0.4566364309939663	positive	True	False	OLD_SIG_NATIVE_NULL	0.4566364309939663	0.45733987323008846	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crae__sys_ckd_wuttke2019	ret_crae	sys_ckd_wuttke2019	1	1	1	10539	1376204	60	-0.902852	-1.0	-0.18477	0.0298399	2.71135916539218e-05	0.0008960631437813	-0.902852005385678	0.815141743628939	0.0140812	0.0118917	0.3955951440897755	negative	True	False	OLD_SIG_NATIVE_NULL	0.3955951440897755	0.39618556971627095	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crae__sys_sle_bentham2015	ret_crae	sys_sle_bentham2015	1	1	1	10539	1376204	60	-0.219143	-1.0	0.65616	0.542194	0.596233993127018	0.955989549874175	-0.219143089734505	0.0480236937783851	0.0140812	0.00101601	0.8602517927987101	negative	False	False	NULL_BOTH	0.8602517927987101	0.8643503042147725	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crae__sys_ibd_delange2017	ret_crae	sys_ibd_delange2017	1	1	1	10539	1376204	60	0.314765	-0.46937	1.0	0.36235	0.391770825018421	0.86999043673684	0.314765205414511	0.0990771345396394	0.0140812	0.000294848	0.7759511484526113	positive	False	False	NULL_BOTH	0.7759511484526113	0.7797056280510701	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_tort__sys_ckd_wuttke2019	ret_art_tort	sys_ckd_wuttke2019	2	2	1	1376205	2215495	98	0.517529	-0.16569	1.0	0.133305	0.0861853275246968	0.448242356385931	0.517528808079736	0.267836067192432	0.000770037	0.00513275	0.5916739240273835	positive	False	False	NULL_BOTH	0.5916739240273835	0.5952627907656342	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_macular_total_left__sys_ckd_wuttke2019	ret_macular_total_left	sys_ckd_wuttke2019	3	3	1	2215496	2983519	180	-0.355405	-1.0	0.14641	0.153521	0.222749924132152	0.709437123084912	-0.355405189209839	0.126312848517281	1.9224e-07	0.00277301	0.6152670678426052	negative	False	False	NULL_BOTH	0.6152670678426052	0.6191451479071404	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_tort__sys_ckd_wuttke2019	ret_art_tort	sys_ckd_wuttke2019	3	3	1	2215496	2983519	180	-0.124423	-0.8192	0.50607	0.662094	0.719078778908672	0.982834756041963	-0.124423495599013	0.0154812062570776	0.000215929	0.00277301	0.9063328980747452	negative	False	False	NULL_BOTH	0.9063328980747452	0.9091809145764741	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_rnfl_left__sys_pd_nalls2019_clinical	ret_rnfl_left	sys_pd_nalls2019_clinical	4	4	1	2983520	3582047	148	-0.0297609	-1.0	1.0	0.946052	0.953485538941369	0.998589793812814	-0.0297608599509237	0.0008857087850184	0.049705	0.0135384	0.9880460083326784	negative	False	False	NULL_BOTH	0.9880460083326784	0.9888159117191062	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
